GAMA ID,Area,Area th=1,Area th=2,Area th=3,Area th=4,Area th=5,Area th=6,Score 1,Score 2,Score 3,Score 4
320753,300,0,0,0,0,0,0,0,0,0,0
302032,167,0,0,0,0,0,0,0,0,0,0
47917,503,0,0,0,0,0,0,0,0,0,0
17307,78,0,0,0,0,0,0,0,0,0,0
321295,185,0,0,0,0,0,0,0,0,0,0
251112,412,0,0,0,0,0,0,0,0,0,0
31598,93,0,0,0,0,0,0,0,0,0,0
535276,305,0,0,0,0,0,0,0,0,0,0
170691,307,0,0,0,0,0,0,0,0,0,0
280103,619,0,0,0,0,0,0,0,0,0,0
492513,599,0,0,0,0,0,0,0,0,0,0
544342,183,0,0,0,0,0,0,0,0,0,0
417396,177,1184,786,496,298,312,4,0,0,0,0
463291,799,0,0,0,0,0,0,0,0,0,0
347353,208,0,0,0,0,0,0,0,0,0,0
178030,210,0,0,0,0,0,0,0,0,0,0
261893,197,0,0,0,0,0,0,0,0,0,0
266963,162,0,0,0,0,0,0,0,0,0,0
521895,500,0,0,0,0,0,0,0,0,0,0
48969,1205,407,620,0,0,0,0,0.0,0.06508595139300534,0.051452282157676346,0.0
267577,610,0,0,0,0,0,0,0,0,0,0
517281,204,0,0,0,0,0,0,0,0,0,0
561491,261,0,0,0,0,0,0,0,0,0,0
203649,644,0,0,0,0,0,0,0,0,0,0
116797,124,0,0,0,0,0,0,0,0,0,0
485617,189,0,0,0,0,0,0,0,0,0,0
98686,211,0,0,0,0,0,0,0,0,0,0
130351,234,0,0,0,0,0,0,0,0,0,0
301107,121,0,0,0,0,0,0,0,0,0,0
544623,424,0,0,0,0,0,0,0,0,0,0
505923,169,0,0,0,0,0,0,0,0,0,0
343120,76,0,0,0,0,0,0,0,0,0,0
172379,398,0,0,0,0,0,0,0,0,0,0
594564,205,0,0,0,0,0,0,0,0,0,0
125526,329,0,0,0,0,0,0,0,0,0,0
618005,384,0,0,0,0,0,0,0,0,0,0
549584,103,0,0,0,0,0,0,0,0,0,0
362097,638,0,0,0,0,0,0,0,0,0,0
47939,1106,168,0,0,0,0,0,0,0,0,0
7793,632,0,0,0,0,0,0,0,0,0,0
30885,287,0,0,0,0,0,0,0,0,0,0
485471,271,0,0,0,0,0,0,0,0,0,0
265711,330,0,0,0,0,0,0,0,0,0,0
98804,131,0,0,0,0,0,0,0,0,0,0
85509,348,0,0,0,0,0,0,0,0,0,0
22811,235,0,0,0,0,0,0,0,0,0,0
319651,1489,0,0,0,0,0,0,0,0,0,0
507769,394,0,0,0,0,0,0,0,0,0,0
512254,2844,0,0,0,30,0,0,0,0,0,0
105581,359,0,0,0,0,0,0,0,0,0,0
16295,151,0,0,0,0,0,0,0,0,0,0
262062,235,0,0,0,0,0,0,0,0,0,0
215424,165,0,0,0,0,0,0,0,0,0,0
93306,442,0,0,0,0,0,0,0,0,0,0
106921,107,0,0,0,0,0,0,0,0,0,0
130657,230,0,0,0,0,0,0,0,0,0,0
220296,213,0,0,0,0,0,0,0,0,0,0
536051,200,0,0,0,0,0,0,0,0,0,0
48523,139,0,0,0,0,0,0,0,0,0,0
508018,215,0,0,0,0,0,0,0,0,0,0
138886,192,0,0,0,0,0,0,0,0,0,0
505421,245,0,0,0,0,0,0,0,0,0,0
145494,201,0,0,0,0,0,0,0,0,0,0
136651,98,0,0,0,0,0,0,0,0,0,0
383211,290,0,0,0,0,0,0,0,0,0,0
70323,170,0,0,0,0,0,0,0,0,0,0
138812,334,0,0,0,0,0,0,0,0,0,0
22589,254,0,0,0,0,0,0,0,0,0,0
567809,178,0,0,0,0,0,0,0,0,0,0
62361,1901,0,0,0,0,0,0,0,0,0,0
321133,129,0,0,0,0,0,0,0,0,0,0
40405,206,0,0,0,0,0,0,0,0,0,0
422168,124,0,0,0,0,0,0,0,0,0,0
47722,261,0,0,0,0,0,0,0,0,0,0
15022,154,0,0,0,0,0,0,0,0,0,0
460809,147,0,0,0,0,0,0,0,0,0,0
377200,122,0,0,0,0,0,0,0,0,0,0
569382,274,0,0,0,0,0,0,0,0,0,0
367239,154,0,0,0,0,0,0,0,0,0,0
251538,233,0,0,0,0,0,0,0,0,0,0
320761,168,0,0,0,0,0,0,0,0,0,0
920348,101,0,0,0,0,0,0,0,0,0,0
40120,144,0,0,0,0,0,0,0,0,0,0
208608,331,0,0,0,0,0,0,0,0,0,0
493212,405,0,0,0,0,0,0,0,0,0,0
642018,965,0,0,0,0,0,0,0,0,0,0
70088,400,0,0,0,0,0,0,0,0,0,0
238813,207,0,0,0,0,0,0,0,0,0,0
209185,1397,0,0,0,0,0,0,0,0,0,0
549533,181,0,0,0,0,0,0,0,0,0,0
214652,159,0,0,0,0,0,0,0,0,0,0
219937,141,0,0,0,0,0,0,0,0,0,0
16202,201,0,0,0,0,0,0,0,0,0,0
323356,223,0,0,0,0,0,0,0,0,0,0
3610665,263,0,0,0,0,0,0,0,0,0,0
636401,128,0,0,0,0,0,0,0,0,0,0
342792,672,0,0,0,0,0,0,0,0,0,0
505313,752,0,0,0,0,0,0,0,0,0,0
570096,104,0,0,0,0,0,0,0,0,0,0
342271,194,0,0,0,0,0,0,0,0,0,0
323420,209,0,0,0,0,0,0,0,0,0,0
93672,172,0,0,0,0,0,0,0,0,0,0
62273,170,0,0,0,0,0,0,0,0,0,0
485467,430,0,0,0,0,0,0,0,0,0,0
92427,328,0,0,0,0,0,0,0,0,0,0
228566,406,1,0,0,0,0,0,0,0,0,0
238158,117,0,0,0,0,0,0,0,0,0,0
323013,631,0,0,0,0,0,0,0,0,0,0
40518,161,0,0,0,0,0,0,0,0,0,0
229460,440,0,0,0,0,0,0,0,0,0,0
592548,217,0,0,0,0,0,0,0,0,0,0
93244,134,0,0,0,0,0,0,0,0,0,0
320463,117,0,0,0,0,0,0,0,0,0,0
143455,114,0,0,0,0,0,0,0,0,0,0
171176,386,0,0,0,0,0,0,0,0,0,0
423064,214,0,0,0,0,0,0,0,0,0,0
618223,344,0,0,0,0,0,0,0,0,0,0
16129,63,0,0,0,0,0,0,0,0,0,0
39625,159,0,0,0,0,0,0,0,0,0,0
289625,493,0,0,0,0,0,0,0,0,0,0
3589387,147,0,0,0,0,0,0,0,0,0,0
592669,90,0,0,0,0,0,0,0,0,0,0
267445,221,0,0,0,0,0,0,0,0,0,0
585623,580,0,0,0,0,0,0,0,0,0,0
537352,594,0,0,0,0,0,0,0,0,0,0
63075,180,0,0,0,0,0,0,0,0,0,0
594230,345,0,0,0,0,0,0,0,0,0,0
584140,282,0,0,0,0,0,0,0,0,0,0
297090,679,54,134,0,0,16,0,0.0,0.02819272038712392,0.025625920471281295,0.006545573555882834
402312,329,0,0,0,0,0,0,0.0,0.0,0.0,0.0
611145,145,0,0,0,0,0,0,0.0,0.0,0.0,0.0
397383,151,0,0,0,0,0,0,0.0,0.0,0.0,0.0
124972,461,0,0,0,0,0,0,0.0,0.0,0.0,0.0
263072,137,0,0,0,0,0,0,0.0,0.0,0.0,0.0
569825,300,0,0,0,0,0,0,0.0,0.0,0.0,0.0
7137,168,0,0,0,0,0,0,0.0,0.0,0.0,0.0
518478,539,0,0,0,0,0,0,0.0,0.0,0.0,0.0
559238,204,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3886872,543,0,0,0,0,0,0,0.0,0.0,0.0,0.0
372645,185,0,0,0,0,0,0,0.0,0.0,0.0,0.0
145316,185,0,0,0,0,0,0,0.0,0.0,0.0,0.0
47369,2375,0,0,0,0,0,0,0.0,0.0,0.0,0.0
124810,126,0,0,0,0,0,0,0.0,0.0,0.0,0.0
144802,174,0,0,0,0,0,0,0.0,0.0,0.0,0.0
36889,122,0,0,0,0,0,0,0.0,0.0,0.0,0.0
203116,355,0,0,0,0,18,0,0.0,0.0,0.0,0.0
496972,289,0,0,0,0,0,0,0.0,0.0,0.0,0.0
288742,644,0,0,0,0,0,0,0.0,0.0,0.0,0.0
62912,148,0,0,0,0,0,0,0.0,0.0,0.0,0.0
343344,184,0,0,0,0,0,0,0.0,0.0,0.0,0.0
492883,850,0,0,0,0,0,0,0.0,0.0,0.0,0.0
105835,499,0,0,0,0,0,0,0.0,0.0,0.0,0.0
251143,428,0,0,0,0,0,0,0.0,0.0,0.0,0.0
486378,84,0,0,0,0,0,0,0.0,0.0,0.0,0.0
132149,131,0,0,0,0,0,0,0.0,0.0,0.0,0.0
92883,94,0,0,0,0,0,0,0.0,0.0,0.0,0.0
518832,129,0,0,0,0,0,0,0.0,0.0,0.0,0.0
593301,330,0,0,0,0,0,0,0.0,0.0,0.0,0.0
592731,82,0,0,0,0,0,0,0.0,0.0,0.0,0.0
71064,165,0,0,0,0,0,0,0.0,0.0,0.0,0.0
131851,1265,31,143,0,42,35,0,0.0,0.024844720496894408,0.024861660079051384,0.015063680281071586
493840,708,0,0,0,0,0,0,0.0,0.0,0.0,0.0
62627,120,0,0,0,0,0,0,0.0,0.0,0.0,0.0
485690,971,0,0,0,0,0,0,0.0,0.0,0.0,0.0
382920,392,0,0,0,0,0,0,0.0,0.0,0.0,0.0
342029,152,0,0,0,0,0,0,0.0,0.0,0.0,0.0
70970,490,0,0,0,0,0,0,0.0,0.0,0.0,0.0
166267,362,0,0,0,0,0,0,0.0,0.0,0.0,0.0
383253,327,0,0,0,0,0,0,0.0,0.0,0.0,0.0
396971,132,0,0,0,0,0,0,0.0,0.0,0.0,0.0
279841,887,805,387,274,26,36,0,0.3089064261555806,0.14414559510388147,0.10597519729425028,0.06927220343229362
3911466,1335,205,0,0,0,0,0,0.0,0.0,0.0,0.0
601459,296,0,0,0,0,0,0,0.0,0.0,0.0,0.0
545390,121,0,0,0,0,0,0,0.0,0.0,0.0,0.0
535721,283,0,0,0,0,0,0,0.0,0.0,0.0,0.0
47724,430,0,0,0,0,0,0,0.0,0.0,0.0,0.0
609227,239,0,0,0,0,0,0,0.0,0.0,0.0,0.0
261994,139,0,0,0,0,0,0,0.0,0.0,0.0,0.0
238358,2486,2320,1278,424,48,0,0,0.17055510860820594,0.1214419798490595,0.08085277554304103,0.03271654599088227
230455,1572,0,0,0,0,0,0,0.0,0.0,0.0,0.0
505493,111,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3891835,376,0,0,0,0,0,0,0.0,0.0,0.0,0.0
261482,111,0,0,0,0,0,0,0.0,0.0,0.0,0.0
172503,701,0,0,0,0,9,0,0.0,0.0,0.0,0.0
77662,180,0,0,0,0,0,0,0.0,0.0,0.0,0.0
423306,271,0,0,0,0,0,0,0.0,0.0,0.0,0.0
47759,268,0,0,0,0,0,0,0.0,0.0,0.0,0.0
131045,430,0,0,0,0,0,0,0.0,0.0,0.0,0.0
137204,221,0,0,0,0,0,0,0.0,0.0,0.0,0.0
296524,205,0,0,0,0,0,0,0.0,0.0,0.0,0.0
230610,234,0,0,0,0,0,0,0.0,0.0,0.0,0.0
422292,377,0,0,0,0,0,0,0.0,0.0,0.0,0.0
362324,288,0,0,0,0,0,0,0,0,0,0
496919,119,0,0,0,0,0,0,0,0,0,0
288521,92,0,0,0,0,0,0,0,0,0,0
14928,143,0,0,0,0,0,0,0,0,0,0
460348,642,0,0,0,0,0,0,0,0,0,0
585095,209,0,0,0,0,0,0,0,0,0,0
3599755,5202,0,0,0,0,0,0,0,0,0,0
320750,164,0,0,0,0,0,0,0,0,0,0
62567,297,0,0,0,0,0,0,0,0,0,0
544707,312,0,0,0,0,0,0,0,0,0,0
117482,449,0,0,0,0,0,0,0,0,0,0
508162,101,0,0,0,0,0,0,0,0,0,0
569014,132,0,0,0,0,0,0,0,0,0,0
322885,170,0,0,0,0,0,0,0,0,0,0
92827,360,0,0,0,0,0,0,0,0,0,0
165204,1062,0,0,0,0,0,0,0,0,0,0
362102,238,0,0,0,0,0,0,0,0,0,0
78627,157,0,0,0,0,0,0,0,0,0,0
618384,492,0,0,0,0,0,0,0,0,0,0
145195,609,0,16,0,0,0,0,0.0,0.002502150285401517,0.002627257799671593,0.0
62535,148,0,0,0,0,0,0,0,0,0,0
56333,157,0,0,0,0,0,0,0,0,0,0
585409,181,0,0,0,0,0,0,0,0,0,0
220610,166,0,0,0,0,0,0,0,0,0,0
599771,141,0,0,0,0,0,0,0,0,0,0
511592,199,0,0,0,0,0,0,0,0,0,0
98651,295,0,0,0,0,0,0,0,0,0,0
545017,471,8,0,0,0,0,0,0,0,0,0
185884,124,0,0,0,0,0,0,0,0,0,0
214285,393,0,0,0,0,0,0,0,0,0,0
238989,68,0,0,0,0,0,0,0,0,0,0
288990,932,0,0,0,0,0,0,0,0,0,0
297792,140,0,0,0,0,0,0,0,0,0,0
371163,227,0,0,0,0,0,0,0,0,0,0
39182,207,0,0,0,0,0,0,0,0,0,0
71309,255,0,0,0,0,0,0,0,0,0,0
64983,171,0,0,0,0,0,0,0,0,0,0
271485,140,0,0,0,0,0,0,0,0,0,0
551350,3056,851,395,0,0,0,0,0.0,0.025570306656694092,0.012925392670157068,0.0
262044,169,0,0,0,0,0,0,0,0,0,0
508908,816,0,0,0,0,0,0,0,0,0,0
41245,121,0,0,0,0,0,0,0,0,0,0
106358,157,0,0,0,0,0,0,0,0,0,0
3852324,613,0,0,0,0,0,0,0,0,0,0
511417,220,0,0,0,0,0,0,0,0,0,0
321334,200,0,0,0,0,0,0,0,0,0,0
545570,208,0,0,0,0,0,0,0,0,0,0
69377,147,0,0,0,0,0,0,0,0,0,0
600784,447,0,0,0,0,0,0,0,0,0,0
486099,1042,243,0,0,0,0,0,0,0,0,0
491511,544,0,0,0,0,0,0,0,0,0,0
178048,145,0,0,0,0,0,0,0,0,0,0
49783,98,0,0,0,0,0,0,0,0,0,0
592835,1066,2,0,0,0,0,0,0,0,0,0
117994,296,0,0,0,0,0,0,0,0,0,0
491767,751,0,0,0,0,0,0,0,0,0,0
239440,187,0,0,0,0,0,0,0,0,0,0
463577,86,0,0,0,0,0,0,0,0,0,0
7135,51,0,0,0,0,0,0,0,0,0,0
62604,106,0,0,0,0,0,0,0,0,0,0
319056,326,0,0,0,0,0,0,0,0,0,0
296779,184,0,0,0,0,0,0,0,0,0,0
238924,890,356,182,93,0,27,0,0.10449438202247191,0.060674157303370786,0.04370786516853933,0.025842696629213482
144702,299,0,0,0,0,0,0,0,0,0,0
266299,321,0,0,0,0,0,0,0,0,0,0
144687,208,0,0,0,0,0,0,0,0,0,0
535761,261,0,0,0,0,0,0,0,0,0,0
372446,536,0,0,0,0,0,0,0,0,0,0
250252,1688,0,0,0,0,0,0,0,0,0,0
220513,621,0,0,0,0,0,0,0,0,0,0
609184,167,0,0,0,0,0,0,0,0,0,0
372749,165,0,0,0,0,0,0,0,0,0,0
3618014,126,0,0,0,0,0,0,0,0,0,0
48548,1038,0,0,0,0,0,0,0,0,0,0
610805,549,0,0,0,0,0,0,0,0,0,0
262672,174,0,0,0,0,0,0,0,0,0,0
238694,169,0,0,0,0,0,0,0,0,0,0
136951,380,0,0,0,0,0,0,0,0,0,0
383051,884,0,0,0,0,0,0,0,0,0,0
228865,74,0,0,0,0,0,0,0,0,0,0
85523,130,0,0,0,0,0,0,0,0,0,0
485733,165,0,0,0,0,0,0,0,0,0,0
39341,4417,0,0,0,0,0,0,0,0,0,0
621997,272,0,0,0,0,0,0,0,0,0,0
537015,282,0,0,0,0,0,0,0,0,0,0
569107,261,0,0,0,0,0,0,0,0,0,0
47427,84,0,0,0,0,0,0,0,0,0,0
64170,129,0,0,0,0,0,0,0,0,0,0
610284,449,0,0,0,0,0,0,0,0,0,0
