,TN U-Net,FP U-Net,FN U-Net,TP U-Net,TN Sky,FP Sky,FN Sky,TP Sky
0,16155.0,0.0,229.0,0.0,16155.0,0.0,229.0,0.0
1,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
2,15090.0,594.0,245.0,455.0,15684.0,0.0,700.0,0.0
3,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
4,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
5,16358.0,26.0,0.0,0.0,16384.0,0.0,0.0,0.0
6,15607.0,777.0,0.0,0.0,16384.0,0.0,0.0,0.0
7,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
8,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
9,14563.0,537.0,1173.0,111.0,15100.0,0.0,1284.0,0.0
10,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
11,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
12,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
13,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
14,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
15,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
16,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
17,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
18,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
19,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
20,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
21,16359.0,25.0,0.0,0.0,16384.0,0.0,0.0,0.0
22,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
23,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
24,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
25,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
26,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
27,16281.0,103.0,0.0,0.0,16384.0,0.0,0.0,0.0
28,15772.0,0.0,612.0,0.0,15772.0,0.0,612.0,0.0
29,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
30,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
31,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
32,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
33,16018.0,78.0,129.0,159.0,16096.0,0.0,288.0,0.0
34,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
35,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
36,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
37,13478.0,6.0,2884.0,16.0,13484.0,0.0,2900.0,0.0
38,15585.0,167.0,442.0,190.0,15752.0,0.0,632.0,0.0
39,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
40,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
41,15570.0,327.0,172.0,315.0,15897.0,0.0,487.0,0.0
42,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
43,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
44,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
45,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
46,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
47,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
48,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
49,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
50,16384.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0
