,0
0,1-330786
1,1-425849
2,1-313480
3,1-73364
4,1-608757
5,1-443800
6,1-345312
7,1-433466
8,1-427857
9,1-371811
10,1-334505
11,1-448730
12,1-399070
13,1-226558
14,1-201938
15,1-211625
16,1-403566
17,1-170319
18,1-548076
19,1-174074
20,1-513590
21,1-519512
22,1-126773
23,1-275590
24,1-339125
25,1-314639
26,1-442568
27,1-500490
28,1-243152
29,1-465025
30,1-68357
31,1-212136
32,1-217412
33,1-218280
34,1-394471
35,1-524506
36,1-5535
37,1-30282
38,1-168890
39,1-338937
40,1-482625
41,1-126789
42,1-300759
43,1-491551
44,1-590569
45,1-508153
46,1-49903
47,1-362212
48,1-410454
49,1-493312
50,1-393932
51,1-625655
52,1-416452
53,1-632023
54,1-318069
55,1-48012
56,1-31369
57,1-443343
58,1-408140
59,1-339432
60,1-244876
61,1-112734
62,1-556494
63,1-434510
64,1-35416
65,1-32795
66,1-523387
67,1-454428
68,1-386077
69,1-324662
70,1-505302
71,1-332872
72,1-38168
73,1-608970
74,1-487789
75,1-569170
76,1-272473
77,1-212222
78,1-631889
79,1-625031
80,1-170591
81,1-67400
82,1-221867
83,1-267148
84,1-620558
85,1-182508
86,1-461128
87,1-523706
88,1-348021
89,1-102132
90,1-456510
91,1-564604
92,1-486467
93,1-199741
94,1-278689
95,1-493266
96,1-143698
97,1-632013
98,1-491478
99,1-164937
100,1-156941
101,1-223194
102,1-248489
103,1-413414
104,1-301214
105,1-475210
106,1-153635
107,1-330373
108,1-260715
109,1-160756
110,1-317100
111,1-497686
112,1-123312
113,1-211098
114,1-239402
115,1-70580
116,1-491444
117,1-352662
118,1-627367
119,1-453791
120,1-136034
121,1-257305
122,1-518465
123,1-97022
124,1-415720
125,1-95770
126,1-79271
127,1-74757
128,1-361791
129,1-404070
130,1-221549
131,1-499517
132,1-568654
133,1-180298
134,1-253210
135,1-605744
136,1-102493
137,1-565658
138,1-466367
139,1-284292
140,1-232722
141,1-345459
142,1-473594
143,1-272470
144,1-485096
145,1-369704
146,1-32533
147,1-448965
148,1-474070
149,1-43285
150,1-542421
151,1-485265
152,1-569171
153,1-395837
154,1-379781
155,1-308934
156,1-8807
157,1-456828
158,1-208041
159,1-322378
160,1-488576
161,1-632978
162,1-473788
163,1-495847
164,1-612339
165,1-394709
166,1-454325
167,1-186008
168,1-587343
169,1-474434
170,1-57097
171,1-406332
172,1-197402
173,1-118032
174,1-376347
175,1-317822
176,1-37679
177,1-434639
178,1-245002
179,1-512435
180,1-336215
181,1-178497
182,1-76425
183,1-303605
184,1-70865
185,1-386503
186,1-357339
187,1-331947
188,1-485273
189,1-348726
190,1-591994
191,1-429835
192,1-125830
193,1-386944
194,1-143476
195,1-242413
196,1-493245
197,1-231886
198,1-448239
199,1-424589
200,1-488790
201,1-527602
202,1-153589
203,1-335235
204,1-496313
205,1-484370
206,1-173966
207,1-437078
208,1-523370
209,1-222430
210,1-281240
211,1-114093
212,1-632565
213,1-144133
214,1-424386
215,1-258856
216,1-456871
217,1-165261
218,1-221255
219,1-327667
220,1-33777
221,1-214503
222,1-336953
223,1-294376
224,1-24293
225,1-447369
226,1-245404
227,1-152139
228,1-221011
229,1-272080
230,1-139186
231,1-609486
232,1-586707
233,1-416851
234,1-42703
235,1-66889
236,1-282302
237,1-633722
238,1-185816
239,1-304315
240,1-5328
241,1-120061
242,1-276679
243,1-539715
244,1-574872
245,1-124781
246,1-53985
247,1-77011
248,1-229060
249,1-83081
250,1-613936
251,1-362316
252,1-162150
253,1-456909
254,1-63450
255,1-502653
256,1-171844
257,1-567457
258,1-371413
259,1-365011
260,1-524662
261,1-468104
262,1-365565
263,1-124091
264,1-532278
265,1-78715
266,1-467408
267,1-57843
268,1-218435
269,1-240616
270,1-318571
271,1-185328
272,1-242146
273,1-496001
274,1-304359
275,1-350944
276,1-612626
277,1-100411
278,1-176444
279,1-88568
280,1-475672
281,1-209175
282,1-184984
283,1-327821
284,1-438675
285,1-30082
286,1-257854
287,1-360744
288,1-272639
289,1-575184
290,1-622022
291,1-311947
292,1-403405
293,1-605233
294,1-590053
295,1-410335
296,1-236005
297,1-338633
298,1-355278
299,1-152263
300,1-275711
301,1-172540
302,1-525606
303,1-97650
304,1-301813
305,1-420470
306,1-565106
307,1-441395
308,1-488464
309,1-32576
310,1-129623
311,1-15547
312,1-282665
313,1-209770
314,1-225064
315,1-316593
316,1-210735
317,1-98279
318,1-323055
319,1-461423
320,1-40350
321,1-282914
322,1-297645
323,1-484530
324,1-351196
325,1-540774
326,1-339616
327,1-408905
328,1-300768
329,1-456788
330,1-535201
331,1-77488
332,1-270196
333,1-513939
334,1-35271
335,1-105821
336,1-37797
337,1-123763
338,1-217304
339,1-247328
340,1-408897
341,1-467592
342,1-324619
343,1-34451
344,1-380058
345,1-474575
346,1-496288
347,1-485789
348,1-252307
349,1-594167
350,1-310695
351,1-633064
352,1-12514
353,1-380097
354,1-458138
355,1-185972
356,1-360078
357,1-83066
358,1-405157
359,1-427177
360,1-350534
361,1-271210
362,1-370302
363,1-456531
364,1-360135
365,1-181732
366,1-209772
367,1-633484
368,1-448969
369,1-167807
370,1-338305
371,1-55170
372,1-48062
