"('Galaxy ID', '', '')","('Accuracy', 'th=1', 'Only spirals')","('Accuracy', 'th=1', 'All images')","('Accuracy', 'th=2', 'Only spirals')","('Accuracy', 'th=2', 'All images')","('Accuracy', 'th=3', 'Only spirals')","('Accuracy', 'th=3', 'All images')","('Accuracy', 'th=4', 'Only spirals')","('Accuracy', 'th=4', 'All images')","('Precision', 'th=1', 'Only spirals')","('Precision', 'th=1', 'All images')","('Precision', 'th=2', 'Only spirals')","('Precision', 'th=2', 'All images')","('Precision', 'th=3', 'Only spirals')","('Precision', 'th=3', 'All images')","('Precision', 'th=4', 'Only spirals')","('Precision', 'th=4', 'All images')","('Sensitivity', 'th=1', 'Only spirals')","('Sensitivity', 'th=1', 'All images')","('Sensitivity', 'th=2', 'Only spirals')","('Sensitivity', 'th=2', 'All images')","('Sensitivity', 'th=3', 'Only spirals')","('Sensitivity', 'th=3', 'All images')","('Sensitivity', 'th=4', 'Only spirals')","('Sensitivity', 'th=4', 'All images')","('Specificity', 'th=1', 'Only spirals')","('Specificity', 'th=1', 'All images')","('Specificity', 'th=2', 'Only spirals')","('Specificity', 'th=2', 'All images')","('Specificity', 'th=3', 'Only spirals')","('Specificity', 'th=3', 'All images')","('Specificity', 'th=4', 'Only spirals')","('Specificity', 'th=4', 'All images')","('Jaccard', 'th=1', 'Only spirals')","('Jaccard', 'th=1', 'All images')","('Jaccard', 'th=2', 'Only spirals')","('Jaccard', 'th=2', 'All images')","('Jaccard', 'th=3', 'Only spirals')","('Jaccard', 'th=3', 'All images')","('Jaccard', 'th=4', 'Only spirals')","('Jaccard', 'th=4', 'All images')"
b'1-185076',0.97930908203125,0.9390869140625,0.97088623046875,0.968017578125,0.98046875,0.98602294921875,0.9932861328125,0.9935302734375,0.7501898253606681,,0.5249204665959704,,0.030927835051546393,,0.0,,0.9899799599198397,0.0,0.9446564885496184,0.0,0.013100436681222707,0.0,0.0,0.0,0.978616924476797,1.0,0.9717528373266078,1.0,0.994181367997524,1.0,0.9997542695662858,1.0,0.7445365486058779,0.0,0.5092592592592593,0.0,0.009287925696594427,0.0,0.0,0.0
b'1-619112',0.65301513671875,1.0,0.98553466796875,1.0,0.9796142578125,1.0,1.0,1.0,0.0,,0.0,,0.0,,,,,,,,,,,,0.65301513671875,1.0,0.98553466796875,1.0,0.9796142578125,1.0,1.0,1.0,0.0,,0.0,,0.0,,,
b'1-605792',0.91986083984375,0.90576171875,0.918212890625,0.91119384765625,0.94317626953125,0.94940185546875,0.98248291015625,0.98297119140625,0.8324222035323802,0.8890363684629679,0.7558243727598566,0.8660014255167499,0.047058823529411764,0.44566133108677336,0.4263565891472868,0.2905982905982906,0.8846927374301676,0.7483798882681564,0.6796937953263498,0.4895245769540693,0.017142857142857144,0.7557142857142857,0.717391304347826,0.14782608695652175,0.9330758250062977,0.9649004954236292,0.9607970076248021,0.9864767659329593,0.9845065034429993,0.9580464167304259,0.9862572737402501,0.9948619536956791,0.750948406676783,0.6844471694257102,0.5573174760488933,0.4550561797752809,0.012725344644750796,0.3895434462444772,0.36504424778761063,0.10862619808306709
b'1-313902',0.736083984375,1.0,0.99676513671875,1.0,0.9888916015625,1.0,1.0,1.0,0.0,,0.0,,0.0,,,,,,,,,,,,0.736083984375,1.0,0.99676513671875,1.0,0.9888916015625,1.0,1.0,1.0,0.0,,0.0,,0.0,,,
b'1-413097',0.94989013671875,1.0,1.0,1.0,0.9940185546875,1.0,1.0,1.0,0.0,,,,0.0,,,,,,,,,,,,0.94989013671875,1.0,1.0,1.0,0.9940185546875,1.0,1.0,1.0,0.0,,,,0.0,,,
b'1-364559',0.74365234375,0.78228759765625,0.8426513671875,0.92877197265625,0.98052978515625,0.97210693359375,0.98785400390625,0.9993896484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.74365234375,0.78228759765625,0.8426513671875,0.92877197265625,0.98052978515625,0.97210693359375,0.98785400390625,0.9993896484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'1-152596',0.81072998046875,0.8590087890625,0.900390625,0.92138671875,0.99017333984375,0.9761962890625,0.96875,0.98974609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.81072998046875,0.8590087890625,0.900390625,0.92138671875,0.99017333984375,0.9761962890625,0.96875,0.98974609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'1-415984',0.79443359375,1.0,0.90521240234375,1.0,0.98040771484375,1.0,1.0,1.0,0.0,,0.0,,0.0,,,,,,,,,,,,0.79443359375,1.0,0.90521240234375,1.0,0.98040771484375,1.0,1.0,1.0,0.0,,0.0,,0.0,,,
b'1-497896',0.888916015625,1.0,1.0,1.0,0.98883056640625,1.0,1.0,1.0,0.0,,,,0.0,,,,,,,,,,,,0.888916015625,1.0,1.0,1.0,0.98883056640625,1.0,1.0,1.0,0.0,,,,0.0,,,
b'1-144628',0.80029296875,0.822265625,0.85064697265625,0.8076171875,0.93072509765625,0.9224853515625,0.9659423828125,0.96087646484375,0.998415632426723,0.9980727535533607,0.9097978227060654,0.9211538461538461,0.7146974063400576,0.5112540192926045,0.6860986547085202,,0.5365403717894139,0.587909748829289,0.4357000993048659,0.2378351539225422,0.19314641744548286,0.24766355140186916,0.23868954758190328,0.0,0.9993573953089857,0.9991431937453144,0.9859177727419877,0.9933635480738103,0.9934437086092716,0.9798675496688741,0.9955535793686082,1.0,0.5360839359137956,0.5872430900070872,0.4176582579723941,0.23309002433090023,0.17932031814895155,0.20025188916876574,0.21518987341772153,0.0
